Date,Open,High,Low,Close,Volume
2023-11-24,51.15,51.15,51.15,51.15,300
2023-11-27,51.15,51.15,51.15,51.15,0
2023-11-28,51.15,51.15,51.15,51.15,0
2023-11-29,51.15,51.15,51.15,51.15,0
2023-11-30,51.15,51.15,51.15,51.15,0
2023-12-01,49.73,49.73,49.73,49.73,100
2023-12-04,49.73,49.73,49.73,49.73,0
2023-12-05,52.95,52.95,49.26,49.26,206
2023-12-06,49.26,49.26,49.26,49.26,208
2023-12-07,49.26,49.26,49.26,49.26,106
2023-12-08,48.22,51.06,47.93,51.06,792
2023-12-11,51.06,51.06,51.06,51.06,53
2023-12-12,49.64,49.64,49.64,49.64,101
2023-12-13,48.79,48.79,48.79,48.79,100
2023-12-14,48.79,48.79,48.79,48.79,0
2023-12-15,48.79,48.79,48.79,48.79,0
2023-12-18,49.26,49.26,49.26,49.26,203
2023-12-19,49.26,49.26,49.26,49.26,31
2023-12-20,51.63,51.63,51.63,51.63,100
2023-12-21,50.21,50.21,50.21,50.21,100
2023-12-22,50.21,50.21,50.21,50.21,10
2023-12-25,50.21,50.21,50.21,50.21,0
2023-12-26,48.12,48.12,46.7,46.7,9804
2023-12-27,47.37,48.22,47.37,48.22,6890
2023-12-28,48.22,48.22,46.99,46.99,1295
2023-12-29,47.37,48.22,46.99,47.46,3208
2024-01-02,47.46,47.46,47.08,47.08,1207
2024-01-03,47.18,48.22,47.18,47.55,400
2024-01-04,47.37,47.55,47.37,47.37,2003
2024-01-05,47.46,47.46,47.37,47.37,1674
2024-01-08,47.37,48.22,47.37,47.84,2702
2024-01-09,47.84,50.21,47.84,47.93,1300
2024-01-10,47.93,47.93,47.93,47.93,0
2024-01-11,47.37,48.69,47.37,48.69,478
2024-01-12,48.69,48.69,48.31,48.6,700
2024-01-15,48.6,48.6,48.6,48.6,0
2024-01-16,48.6,48.6,48.6,48.6,1
2024-01-17,47.55,47.65,47.55,47.65,400
2024-01-18,47.84,47.84,47.84,47.84,1400
2024-01-19,47.84,47.84,47.84,47.84,320
2024-01-22,47.84,47.84,47.84,47.84,1011
2024-01-23,47.84,47.84,47.74,47.84,700
2024-01-24,47.84,47.84,47.84,47.84,710
2024-01-25,47.84,47.84,47.84,47.84,450
2024-01-26,47.84,47.84,47.84,47.84,0
2024-01-29,50.11,50.11,49.73,49.73,202
2024-01-30,49.73,49.73,49.73,49.73,21
2024-01-31,49.73,49.73,49.73,49.73,0
2024-02-01,47.84,49.54,47.84,49.54,305
2024-02-02,48.12,48.12,48.12,48.12,200
2024-02-05,48.22,48.22,48.22,48.22,601
2024-02-06,48.22,48.22,48.22,48.22,305
2024-02-07,48.31,48.31,48.31,48.31,101
2024-02-15,47.93,48.31,47.93,48.31,1456
2024-02-16,48.31,48.31,48.31,48.31,100
2024-02-19,48.31,48.31,48.31,48.31,31
2024-02-20,48.31,48.31,48.31,48.31,100
2024-02-21,48.03,48.03,48.03,48.03,105
2024-02-22,48.31,48.31,48.31,48.31,303
2024-02-23,48.31,48.31,48.31,48.31,300
2024-02-26,48.79,49.26,48.69,49.26,700
2024-02-27,49.26,49.26,49.26,49.26,100
2024-02-28,49.26,49.26,49.26,49.26,0
