Date,Open,High,Low,Close,Volume
2023-12-06,15.93,16.24,15.83,16.19,7048110
2023-12-07,16.31,16.34,15.47,15.85,11276675
2023-12-08,15.93,16.08,15.8,15.93,5497980
2023-12-11,16.08,16.6,16.01,16.44,10666585
2023-12-12,16.47,16.62,16.26,16.29,4313967
2023-12-13,16.44,16.52,15.93,15.95,8545641
2023-12-14,16.16,16.19,15.67,15.8,6610097
2023-12-15,15.83,16.21,15.72,16.19,5961036
2023-12-18,16.24,16.29,15.93,15.93,5241596
2023-12-19,15.93,16.19,15.83,16.19,6423868
2023-12-20,16.21,17.01,16.21,16.78,13421708
2023-12-21,16.75,17.01,16.62,16.8,7527013
2023-12-22,16.85,17.01,16.6,16.65,6223078
2023-12-25,16.75,16.96,16.57,16.85,6885430
2023-12-26,16.9,16.98,16.8,16.83,8980324
2023-12-27,16.9,17.47,16.88,17.16,14382766
2023-12-28,17.37,17.47,17.21,17.47,9419776
2023-12-29,17.47,17.62,17.39,17.57,13837033
2024-01-02,18.79,18.79,18.23,18.27,17261005
2024-01-03,18.27,18.42,18.16,18.34,6660953
2024-01-04,18.27,18.56,18.27,18.27,10112536
2024-01-05,18.31,18.34,17.94,18.2,8873628
2024-01-08,18.27,18.38,18.16,18.2,3774027
2024-01-09,18.27,18.27,17.94,18.01,5654008
2024-01-10,18.05,18.08,17.79,17.86,4240311
2024-01-11,17.9,18.23,17.86,18.01,4012772
2024-01-12,17.97,18.27,17.57,18.16,8533429
2024-01-15,18.27,18.38,17.94,17.94,2122362
2024-01-16,17.9,18.27,17.75,18.27,4262650
2024-01-17,18.34,18.79,18.12,18.38,9169841
2024-01-18,18.42,18.49,18.2,18.2,3963453
2024-01-19,18.34,18.38,18.05,18.05,4684791
2024-01-22,18.16,18.38,17.83,18.38,5570848
2024-01-23,18.42,18.6,18.27,18.56,9886487
2024-01-24,18.56,19.82,18.56,19.38,19155393
2024-01-25,19.56,19.75,19.3,19.45,5423536
2024-01-26,19.49,20.27,19.45,19.86,8665823
2024-01-29,19.97,20.08,19.45,19.56,6312743
2024-01-30,19.56,20.01,19.49,19.93,4982435
2024-01-31,20.04,20.41,19.6,19.6,10407879
2024-02-01,19.64,19.97,19.56,19.75,3362604
2024-02-02,19.86,20.08,19.71,19.82,5013778
2024-02-05,19.75,20.04,19.53,19.93,5627321
2024-02-06,19.97,20.56,19.97,20.19,5539729
2024-02-07,20.3,20.45,20.16,20.19,4696585
2024-02-15,20.34,20.34,19.86,19.97,6292925
2024-02-16,20.01,20.19,19.86,19.93,6883635
2024-02-19,19.93,19.97,19.6,19.82,10755421
2024-02-20,19.97,20.12,19.75,19.82,7356966
2024-02-21,19.79,19.9,19.6,19.86,6733702
2024-02-22,19.82,19.86,19.64,19.64,4811476
2024-02-23,19.75,20.08,19.45,19.56,13405167
2024-02-26,19.71,20.93,19.67,20.93,31999431
2024-02-27,21.08,21.34,20.86,20.93,8414802
2024-02-28,20.97,21.3,20.6,21.08,12629471
2024-02-29,21.23,21.34,20.6,20.67,16334977
2024-03-01,20.97,21.45,20.78,20.93,9266314
2024-03-04,21.23,21.41,20.93,21.08,8880191
2024-03-05,21.01,21.52,20.82,21.45,9814244
2024-03-06,21.38,21.52,20.89,21.12,7542821
2024-03-07,21.01,21.6,21.01,21.45,10510503
2024-03-08,21.6,21.71,20.93,20.93,11272618
2024-03-11,20.97,20.97,20.34,20.56,8421299
2024-03-12,20.56,20.82,20.34,20.75,7018659
2024-03-13,20.82,21.52,20.64,21.49,10747061
2024-03-14,21.63,21.71,21.01,21.19,12702406
2024-03-15,21.08,21.15,20.71,20.93,10767587
2024-03-18,20.97,21.04,19.6,20.04,16190321
2024-03-19,20.08,20.38,20.01,20.27,3957289
2024-03-20,20.3,20.67,20.08,20.67,6136297
2024-03-21,20.97,21.23,20.82,20.89,9362539
2024-03-22,21.04,21.41,20.93,21.15,11757621
2024-03-25,21.23,21.34,20.71,20.78,8079340
2024-03-26,20.64,21.15,20.49,20.93,6668830
2024-03-27,21.15,21.45,20.93,21.45,7478030
2024-03-28,21.82,22.23,21.75,22.23,17341807
2024-03-29,22.19,22.23,21.82,21.82,7328654
2024-04-01,21.82,22.19,21.45,22.0,9569680
2024-04-02,21.89,22.12,21.45,22.12,6653310
2024-04-03,22.15,22.34,21.6,21.63,8329561
2024-04-04,21.6,21.93,21.38,21.67,8166931
2024-04-05,21.45,21.71,20.86,20.86,10633561
2024-04-08,20.86,21.08,20.71,20.75,5610828
2024-04-09,20.82,21.45,20.75,21.34,8112495
2024-04-10,21.34,21.38,21.08,21.08,4222414
2024-04-11,20.86,21.34,20.86,21.3,5211655
2024-04-12,21.41,21.82,21.23,21.82,8267038
2024-04-15,21.67,21.86,20.3,20.3,11802494
2024-04-16,20.27,20.34,19.3,20.23,10417160
2024-04-17,20.41,20.41,19.3,19.3,5983079
2024-04-19,18.93,19.38,18.34,18.38,12001280
2024-04-22,19.01,19.64,18.79,19.6,6760646
2024-04-23,19.64,19.9,19.05,19.49,7317722
2024-04-24,19.82,20.45,19.67,20.45,6964945
2024-04-25,20.38,20.38,19.97,20.19,3332207
2024-04-26,19.82,20.04,19.67,20.01,6449119
