Date,Open,High,Low,Close,Volume
2023-12-05,22.87,23.23,22.71,23.03,2223712
2023-12-06,23.03,23.85,22.91,23.85,2337367
2023-12-07,23.76,23.85,22.99,23.6,2276318
2023-12-08,23.44,23.64,22.91,23.36,1954098
2023-12-11,23.23,23.32,22.79,22.87,1096037
2023-12-12,23.07,23.11,22.83,23.11,1160899
2023-12-13,23.19,23.36,22.79,22.79,1212952
2023-12-14,22.91,23.07,22.1,22.71,1432108
2023-12-15,22.54,23.03,22.3,22.67,1285759
2023-12-18,22.67,22.75,22.3,22.62,692712
2023-12-19,22.38,22.71,22.1,22.62,677426
2023-12-20,22.38,22.71,22.38,22.58,431528
2023-12-21,22.67,23.44,22.42,23.44,1733742
2023-12-22,23.44,23.8,23.19,23.68,2010439
2023-12-25,23.52,23.8,23.44,23.8,1578656
2023-12-26,23.76,23.76,23.11,23.36,2846148
2023-12-27,23.28,23.44,22.42,22.46,4261309
2023-12-28,22.3,22.42,22.05,22.42,3559245
2023-12-29,22.62,22.62,22.34,22.46,1179068
2024-01-02,22.62,22.62,21.97,21.97,2474339
2024-01-03,21.93,21.93,21.57,21.57,3076014
2024-01-04,21.69,22.14,21.69,21.69,2137989
2024-01-05,21.81,22.14,21.73,21.89,1432525
2024-01-08,21.97,22.14,21.77,21.81,1649347
2024-01-09,21.93,22.1,21.69,21.73,1803025
2024-01-10,21.81,21.81,20.96,21.16,3852831
2024-01-11,21.16,21.36,20.79,20.83,2473846
2024-01-12,20.71,20.71,20.22,20.35,3446346
2024-01-15,20.51,20.75,19.98,19.98,2370362
2024-01-16,19.98,21.28,19.98,21.28,3207015
2024-01-17,21.36,21.36,20.87,20.87,1969164
2024-01-18,21.04,21.44,20.75,21.08,2401950
2024-01-19,21.08,21.32,20.83,20.87,1683128
2024-01-22,20.92,21.44,20.92,21.44,2281667
2024-01-23,21.44,21.44,21.08,21.16,1179756
2024-01-24,21.16,21.4,20.96,21.0,1704330
2024-01-25,21.2,21.2,20.96,20.96,663424
2024-01-26,21.0,21.08,20.87,20.96,1164178
2024-01-29,20.96,21.44,20.96,21.24,1962454
2024-01-30,21.24,21.69,21.24,21.53,1876337
2024-01-31,21.65,21.65,21.2,21.32,1819979
2024-02-01,21.2,21.53,21.16,21.36,1360692
2024-02-02,21.36,21.89,21.36,21.69,2768992
2024-02-05,21.77,21.81,21.53,21.57,1384855
2024-02-06,21.57,21.65,21.4,21.44,1667387
2024-02-07,21.57,22.05,21.57,21.81,1790495
2024-02-15,21.97,22.42,21.89,22.14,1852257
2024-02-16,22.38,22.38,22.01,22.01,1526814
2024-02-19,22.05,22.05,21.81,22.01,1841607
2024-02-20,22.22,22.22,21.73,21.77,2466756
2024-02-21,21.85,21.97,21.61,21.89,1962977
2024-02-22,21.89,22.1,21.81,21.81,1713859
2024-02-23,21.81,21.85,21.08,21.08,2960098
2024-02-26,21.16,21.28,20.96,21.24,1780933
2024-02-27,21.24,21.65,21.16,21.65,1573191
2024-02-28,21.69,22.14,21.53,21.69,1894556
2024-02-29,21.69,21.85,21.57,21.61,1701965
2024-03-01,21.77,23.11,21.57,23.11,6859646
2024-03-04,23.48,23.8,22.95,23.03,7239885
2024-03-05,23.03,23.8,22.95,23.52,4876713
2024-03-06,23.44,23.6,22.83,22.95,2457702
2024-03-07,22.99,23.23,22.83,23.11,2440294
2024-03-08,23.19,24.09,22.91,23.76,5977380
2024-03-11,23.8,24.21,22.99,22.99,3373127
2024-03-12,23.19,23.19,22.87,22.91,2667119
2024-03-13,23.11,23.8,22.99,23.76,6769740
2024-03-14,24.21,24.62,24.01,24.25,6570072
2024-03-15,24.25,24.94,24.01,24.25,6101255
2024-03-18,24.58,24.82,22.58,23.52,7785867
2024-03-19,23.6,24.25,23.44,23.48,3401675
2024-03-20,23.6,23.76,23.28,23.68,2454303
2024-03-21,23.97,24.33,23.68,23.93,3466589
2024-03-22,24.25,24.33,23.68,23.76,3140480
2024-03-25,23.8,24.13,23.32,23.44,2417043
2024-03-26,23.44,23.89,23.28,23.72,1922814
2024-03-27,23.97,24.74,23.72,24.21,4441458
2024-03-28,24.29,24.54,23.89,23.97,1792996
2024-03-29,24.21,24.25,23.8,23.8,2441226
2024-04-01,23.76,24.09,23.64,24.01,2516646
2024-04-02,24.01,24.54,23.72,24.37,3839799
2024-04-03,24.41,24.74,24.01,24.17,5659224
2024-04-04,24.17,24.21,23.6,24.01,3566165
2024-04-05,23.76,23.76,23.19,23.19,3017839
2024-04-08,23.19,23.28,22.95,22.95,1587816
2024-04-09,22.99,23.28,22.79,23.19,1751870
2024-04-10,23.32,23.68,23.23,23.23,1606422
2024-04-11,22.99,23.23,22.87,23.19,1442230
2024-04-12,23.28,23.36,23.07,23.28,1135543
2024-04-15,23.11,23.19,21.65,21.73,4025248
2024-04-16,21.77,21.81,20.83,21.57,3198242
2024-04-17,21.61,21.73,21.16,21.16,1822021
2024-04-19,20.92,21.12,20.43,20.51,2401628
2024-04-22,20.75,21.2,20.75,21.0,1014774
2024-04-23,21.08,21.2,20.79,20.79,976778
2024-04-24,21.0,21.77,21.0,21.49,1210223
2024-04-25,21.49,21.69,21.36,21.57,650702
2024-04-26,21.32,21.85,21.28,21.69,716122
2024-05-02,21.77,22.71,21.73,21.97,995618
2024-05-03,22.14,22.18,21.57,21.69,758137
2024-05-06,21.77,22.3,21.77,21.97,1200414
2024-05-07,22.01,22.18,21.81,21.89,819774
2024-05-08,21.81,22.62,21.73,22.3,2004531
2024-05-09,22.54,22.54,21.97,21.97,949601
2024-05-10,21.97,22.14,21.65,21.85,1565512
2024-05-13,22.05,22.22,21.81,22.01,974734
2024-05-14,22.14,22.22,21.93,22.01,662443
2024-05-15,22.01,22.5,22.01,22.26,1719153
2024-05-16,22.38,22.54,22.1,22.3,1737758
2024-05-17,22.38,23.85,22.38,23.85,7762147
2024-05-20,24.13,25.51,24.01,25.47,12101215
2024-05-21,25.51,26.45,25.15,26.25,7559432
2024-05-22,26.45,27.1,26.25,26.82,10356560
2024-05-23,26.82,27.87,26.53,27.51,10216374
2024-05-24,26.86,27.51,25.8,26.37,12268066
2024-05-27,26.49,27.55,26.33,26.53,5316858
2024-05-28,26.86,28.36,26.73,28.36,12016805
2024-05-29,28.93,28.93,27.26,27.67,11487571
2024-05-30,27.26,28.32,26.69,27.83,11663281
2024-05-31,28.08,28.12,27.22,27.55,5764096
2024-06-03,27.87,28.0,27.39,27.47,6153542
2024-06-04,27.59,28.61,27.51,27.63,6838695
2024-06-05,27.67,28.65,27.34,27.83,9183584
2024-06-06,28.0,28.65,27.71,28.04,7557414
2024-06-07,28.48,28.48,27.43,27.75,6684133
2024-06-10,27.79,28.85,27.75,28.24,8479292
2024-06-11,28.52,28.85,28.16,28.24,7016491
2024-06-12,28.24,28.4,27.83,28.28,5548077
2024-06-13,28.48,29.18,28.12,28.24,7295006
2024-06-14,28.28,28.28,26.41,26.41,19202602
2024-06-17,26.45,26.94,25.96,26.65,5736772
2024-06-18,26.86,26.98,25.88,25.96,6823346
2024-06-19,26.04,26.69,25.88,26.08,6512457
2024-06-20,26.37,27.14,25.92,27.1,7737033
2024-06-21,27.26,27.26,26.37,26.69,7021289
2024-06-24,26.91,27.09,25.0,25.0,6736171
2024-06-25,25.05,25.73,25.05,25.73,3658924
2024-06-26,25.73,26.41,25.27,26.05,4945412
2024-06-27,26.14,26.27,25.77,25.91,2338132
2024-06-28,25.91,26.32,25.41,25.59,5866310
2024-07-01,25.73,26.82,25.59,26.27,4681315
2024-07-02,26.5,26.64,26.27,26.55,2289087
2024-07-03,26.73,26.82,26.23,26.23,3410902
2024-07-04,26.32,26.5,26.05,26.5,3765307
2024-07-05,26.64,27.18,26.27,26.82,6649178
2024-07-08,27.0,27.86,26.86,27.82,9687527
2024-07-09,28.09,28.41,27.55,27.73,6505200
2024-07-10,27.91,29.64,27.55,29.0,12343989
2024-07-11,29.27,29.55,28.91,28.91,4211507
2024-07-12,29.09,29.09,28.23,28.55,6494393
2024-07-15,28.82,30.0,28.68,29.45,7489819
2024-07-16,29.55,29.82,28.73,28.82,4798538
2024-07-17,28.91,29.23,26.82,27.45,11328123
2024-07-18,27.45,28.82,27.32,28.82,6084565
2024-07-19,28.82,28.86,27.91,28.18,5110401
2024-07-22,27.73,28.18,26.23,26.23,10728528
2024-07-23,26.27,26.5,24.73,24.73,8424742
2024-07-24,24.73,25.82,24.55,25.55,6770439
2024-07-25,25.32,26.14,25.27,25.91,3782476
2024-07-26,26.09,26.23,25.59,26.18,3770833
2024-07-29,26.18,26.32,25.73,25.91,3124348
2024-07-30,25.91,26.59,25.45,25.73,3393979
2024-07-31,25.73,26.14,25.27,25.5,3031552
2024-08-01,25.5,25.64,23.95,24.27,7074210
2024-08-02,24.09,24.95,23.86,24.95,3224451
2024-08-05,23.91,24.64,23.23,23.23,6362899
2024-08-06,23.55,24.0,22.73,23.59,5238845
2024-08-07,23.73,24.36,23.23,24.09,3358131
2024-08-08,23.77,24.27,23.36,23.41,4454589
2024-08-09,23.64,24.0,23.41,23.95,3390983
2024-08-12,24.14,24.64,23.91,24.64,4702441
2024-08-13,24.59,24.68,24.09,24.18,3492238
2024-08-14,24.45,24.45,23.82,23.82,2460739
2024-08-15,23.91,24.32,23.86,23.86,3899595
2024-08-16,24.27,25.5,24.0,25.5,10701380
2024-08-19,25.64,25.86,25.45,25.5,3716548
2024-08-20,25.59,26.73,25.59,26.18,8216101
