Date,Open,High,Low,Close,Volume
2023-12-04,9.23,9.23,9.11,9.23,14674
2023-12-05,9.16,9.25,9.16,9.23,44079
2023-12-06,9.22,9.23,9.07,9.08,11118
2023-12-07,9.12,9.16,9.11,9.11,39212
2023-12-08,8.94,9.14,8.93,9.14,4903
2023-12-11,9.11,9.14,8.88,8.97,8881
2023-12-12,9.14,9.35,9.07,9.35,10621
2023-12-13,9.34,9.35,9.07,9.07,19007
2023-12-14,9.16,9.32,9.07,9.31,20971
2023-12-15,9.3,9.3,9.07,9.07,21140
2023-12-18,8.93,9.25,8.93,9.25,1599
2023-12-19,9.24,9.24,8.98,9.24,3900
2023-12-20,9.07,9.25,9.07,9.25,1629
2023-12-21,9.16,9.22,9.07,9.08,10500
2023-12-22,9.53,9.53,9.07,9.16,40673
2023-12-25,8.97,9.35,8.97,9.25,22648
2023-12-26,9.3,9.3,9.16,9.16,14901
2023-12-27,9.16,9.16,9.0,9.0,19727
2023-12-28,9.15,9.15,9.0,9.15,5455
2023-12-29,9.19,9.22,9.0,9.22,17926
2024-01-02,9.22,9.35,9.22,9.35,17946
2024-01-03,9.23,9.34,9.21,9.34,17586
2024-01-04,9.34,9.39,9.16,9.34,20787
2024-01-05,9.63,9.81,9.16,9.34,21178
2024-01-08,9.34,9.53,9.21,9.49,21520
2024-01-09,9.44,9.44,9.21,9.44,5416
2024-01-10,9.39,9.39,9.21,9.34,13380
2024-01-11,9.17,9.34,9.11,9.33,52420
2024-01-12,9.25,9.25,9.07,9.15,8104
2024-01-15,9.07,9.24,9.07,9.08,7820
2024-01-16,8.93,9.34,8.93,9.08,20272
2024-01-17,9.3,9.3,8.99,9.22,19511
2024-01-18,9.27,9.27,9.13,9.13,9410
2024-01-19,9.16,9.18,9.15,9.15,14171
2024-01-22,9.15,9.15,8.97,9.13,12684
2024-01-23,9.07,9.13,9.05,9.13,440
2024-01-24,8.97,9.02,8.93,8.97,7829
2024-01-25,8.93,9.06,8.93,9.05,5143
2024-01-26,8.95,9.02,8.95,9.02,1773
2024-01-29,9.06,9.06,8.97,8.97,867
2024-01-30,8.97,9.02,8.79,8.88,22686
2024-01-31,8.97,8.97,8.79,8.87,69451
2024-02-01,8.87,9.13,8.74,8.97,12300
2024-02-02,8.97,8.97,8.77,8.88,9600
2024-02-05,8.88,8.88,8.76,8.8,8703
2024-02-06,8.88,8.88,8.78,8.87,6587
2024-02-07,8.79,9.16,8.79,9.11,8902
2024-02-15,9.11,9.11,8.8,9.06,7834
2024-02-16,9.06,9.06,8.85,8.96,6611
2024-02-19,8.96,8.96,8.79,8.88,39080
2024-02-20,8.93,8.97,8.89,8.96,28086
2024-02-21,9.04,9.04,8.79,8.9,10578
2024-02-22,8.9,9.15,8.89,8.91,94361
2024-02-23,8.93,9.1,8.89,8.91,42141
2024-02-26,8.9,9.07,8.89,9.07,8967
2024-02-27,9.06,9.06,8.61,9.01,17604
2024-02-28,8.83,9.35,8.79,9.24,35788
2024-02-29,9.24,9.31,8.81,9.3,53573
2024-03-01,9.26,9.63,8.89,9.34,53897
2024-03-04,9.34,9.34,8.88,8.99,16443
2024-03-05,8.99,9.25,8.99,9.21,18470
2024-03-06,9.07,9.07,9.0,9.06,3323
2024-03-07,8.98,9.35,8.89,9.02,75968
2024-03-08,9.02,9.28,8.88,9.22,18959
2024-03-11,9.22,9.25,8.98,9.22,27648
2024-03-12,9.22,9.29,9.16,9.24,41299
2024-03-13,9.23,9.53,9.07,9.53,71872
2024-03-14,9.63,9.86,9.35,9.39,166515
2024-03-15,9.63,9.91,9.31,9.44,98842
2024-03-18,9.81,9.91,9.53,9.63,74619
2024-03-19,9.81,9.81,9.49,9.72,66381
2024-03-20,9.77,9.77,9.39,9.77,40065
2024-03-21,9.53,9.81,9.53,9.63,46748
2024-03-22,9.63,9.63,9.44,9.44,32864
2024-03-25,9.44,9.53,9.44,9.44,23923
2024-03-26,9.44,9.53,9.35,9.35,32273
2024-03-27,9.53,9.53,9.35,9.35,11201
2024-03-28,9.35,9.53,9.22,9.53,178566
2024-03-29,9.53,9.53,9.35,9.44,28730
2024-04-01,9.44,9.53,9.31,9.44,35673
2024-04-02,9.44,9.44,9.35,9.35,28381
2024-04-03,9.22,9.49,9.22,9.39,80383
2024-04-04,9.44,9.44,9.25,9.26,25939
2024-04-05,9.22,9.35,9.22,9.22,51436
2024-04-08,9.25,9.25,8.69,9.07,72900
2024-04-09,8.8,9.16,8.8,9.01,79105
2024-04-10,9.02,9.44,9.01,9.25,70349
2024-04-11,9.44,9.63,9.27,9.58,210251
2024-04-12,9.53,9.77,9.53,9.58,79032
2024-04-15,9.58,9.77,9.44,9.44,77425
2024-04-16,9.16,9.33,9.16,9.31,29608
2024-04-17,9.25,9.53,9.25,9.25,20251
2024-04-19,9.25,9.25,9.17,9.18,35807
2024-04-22,9.18,9.33,9.18,9.33,21646
2024-04-23,9.33,9.35,9.33,9.35,9715
2024-04-24,9.35,9.53,9.25,9.53,13833
2024-04-25,9.67,9.67,9.35,9.63,75782
2024-04-26,9.53,9.53,9.44,9.44,892
2024-05-02,9.53,9.53,9.25,9.27,7290
2024-05-03,9.27,9.35,9.25,9.35,10469
2024-05-06,9.26,9.77,9.21,9.72,62131
2024-05-07,9.72,9.81,9.53,9.53,60013
2024-05-08,9.39,9.67,9.35,9.63,45174
2024-05-09,9.63,9.63,9.32,9.39,11939
2024-05-10,9.58,9.72,9.44,9.72,56936
2024-05-13,9.81,10.37,9.81,10.37,130217
2024-05-14,11.08,11.08,10.37,10.93,207721
2024-05-15,11.5,11.5,10.93,10.93,141379
2024-05-16,11.03,11.12,10.47,10.75,80325
2024-05-17,10.75,11.08,10.65,10.84,45087
2024-05-20,10.84,10.84,10.51,10.7,42831
2024-05-21,10.56,10.7,10.56,10.7,23567
2024-05-22,10.65,10.75,10.47,10.65,72094
2024-05-23,10.65,11.12,10.65,11.08,86470
2024-05-24,10.93,10.93,10.56,10.56,51478
2024-05-27,10.56,10.84,10.56,10.56,47488
2024-05-28,10.89,11.26,10.65,11.26,323565
2024-05-29,12.01,12.01,11.64,11.78,334901
2024-05-30,11.78,11.78,11.31,11.68,299033
2024-05-31,11.68,12.43,11.68,11.87,258635
2024-06-03,11.87,12.66,11.87,12.66,707791
2024-06-04,13.5,13.5,13.5,13.5,435318
2024-06-05,14.44,14.44,14.07,14.44,1087906
2024-06-06,14.49,14.91,14.21,14.81,901724
2024-06-07,14.81,15.84,14.81,15.47,1534109
2024-06-10,15.51,15.89,15.0,15.42,791841
2024-06-11,15.42,16.5,15.42,16.4,918538
2024-06-12,16.45,16.59,15.89,16.26,400259
2024-06-13,15.89,16.26,15.84,16.12,536060
2024-06-14,15.89,16.5,15.89,16.17,638757
2024-06-17,16.22,17.1,16.22,16.73,525352
2024-06-18,16.78,17.9,16.36,17.9,1619541
2024-06-19,18.18,18.79,18.04,18.6,893281
2024-06-20,18.6,18.6,17.34,17.34,1438449
2024-06-21,17.66,18.18,17.01,17.85,877140
2024-06-24,17.94,17.94,16.68,16.68,619325
2024-06-25,16.68,16.82,15.75,16.12,508555
2024-06-26,16.12,16.68,15.98,16.68,247523
2024-06-27,16.82,17.29,16.68,17.2,290963
2024-06-28,16.54,17.1,16.08,16.26,336132
2024-07-01,16.36,17.01,16.36,16.82,349116
2024-07-02,16.5,17.01,16.5,16.68,111961
2024-07-03,16.82,17.57,16.68,17.38,712330
2024-07-04,17.71,17.71,16.82,17.15,403743
2024-07-05,17.43,17.43,16.64,17.1,285010
2024-07-08,17.15,18.22,17.1,17.38,510964
2024-07-09,17.66,17.66,17.01,17.2,295832
2024-07-10,17.2,17.29,16.64,16.64,333568
2024-07-11,16.64,16.92,16.36,16.4,365480
2024-07-12,16.59,16.82,16.26,16.4,200701
2024-07-15,16.03,16.36,15.28,15.28,251008
2024-07-16,14.58,15.98,14.49,15.42,249558
2024-07-17,15.33,15.33,14.35,14.39,265087
2024-07-18,14.39,14.95,13.74,14.35,153546
2024-07-19,14.77,14.77,13.46,13.65,140212
2024-07-22,13.65,13.65,12.8,13.04,189316
