Date,Open,High,Low,Close,Volume
2023-12-06,9.82,9.99,9.69,9.99,663947
2023-12-07,9.82,9.86,9.49,9.57,1932581
2023-12-08,9.57,9.65,9.44,9.57,468877
2023-12-11,9.57,9.69,9.49,9.65,316901
2023-12-12,9.61,9.61,9.49,9.57,449831
2023-12-13,9.57,9.57,9.28,9.32,555235
2023-12-14,9.36,9.4,9.2,9.24,368066
2023-12-15,9.24,9.32,9.07,9.07,451266
2023-12-18,9.07,9.2,9.03,9.07,225921
2023-12-19,8.95,9.11,8.86,9.07,467111
2023-12-20,9.15,9.24,9.07,9.24,191602
2023-12-21,9.24,9.24,9.11,9.11,128553
2023-12-22,9.11,9.24,9.11,9.15,194356
2023-12-25,9.24,9.24,9.07,9.24,374200
2023-12-26,9.24,9.24,9.11,9.2,508074
2023-12-27,9.15,9.24,9.15,9.24,375905
2023-12-28,9.24,9.28,9.15,9.24,357022
2023-12-29,9.24,9.32,9.15,9.2,430091
2024-01-02,9.24,9.24,9.11,9.11,235854
2024-01-03,9.07,9.15,9.07,9.15,396601
2024-01-04,9.2,9.2,9.11,9.11,446282
2024-01-05,9.11,9.15,9.07,9.07,204858
2024-01-08,9.11,9.15,9.03,9.11,365936
2024-01-09,9.11,9.57,9.03,9.44,1387096
2024-01-10,9.49,9.57,9.32,9.32,693367
2024-01-11,9.49,9.49,9.24,9.36,540336
2024-01-12,9.28,9.36,9.07,9.24,755721
2024-01-15,9.24,9.4,9.11,9.32,566819
2024-01-16,9.4,9.4,9.24,9.32,223338
2024-01-17,9.4,9.74,9.4,9.53,1717693
2024-01-18,9.53,9.74,9.49,9.49,632323
2024-01-19,9.53,9.57,9.28,9.32,635568
2024-01-22,9.44,9.49,9.28,9.36,447871
2024-01-23,9.4,9.4,9.28,9.32,172901
2024-01-24,9.32,9.44,9.28,9.32,502585
2024-01-25,9.36,9.44,9.36,9.44,246280
2024-01-26,9.49,9.49,9.36,9.4,235033
2024-01-29,9.4,9.44,9.4,9.44,350176
2024-01-30,9.44,9.82,9.36,9.82,1668838
2024-01-31,9.99,9.99,9.57,9.65,613182
2024-02-01,9.65,9.74,9.57,9.61,554089
2024-02-02,9.65,9.78,9.53,9.57,571536
2024-02-05,9.57,9.82,9.57,9.69,381191
2024-02-06,9.74,9.78,9.53,9.65,468011
2024-02-07,9.65,9.69,9.61,9.69,481791
2024-02-15,9.74,9.74,9.61,9.61,261987
2024-02-16,9.61,9.61,9.49,9.53,624421
2024-02-19,9.57,9.69,9.49,9.61,607334
2024-02-20,9.69,9.69,9.53,9.57,559707
2024-02-21,9.57,9.61,9.49,9.61,390629
2024-02-22,9.65,10.28,9.61,10.28,4306929
2024-02-23,10.4,10.44,9.9,9.99,1453341
2024-02-26,9.94,10.07,9.74,9.82,1713268
2024-02-27,9.94,10.24,9.82,10.24,1644526
