Date,Open,High,Low,Close,Volume
2023-12-07,43.16,43.6,42.28,42.58,443836
2023-12-08,42.58,43.46,42.28,43.46,539569
2023-12-11,43.46,43.9,43.09,43.09,237332
2023-12-12,43.09,43.38,42.8,43.31,287383
2023-12-13,43.46,43.46,42.21,42.36,588444
2023-12-14,42.65,42.87,41.91,41.91,278537
2023-12-15,41.99,42.58,41.47,41.62,513564
2023-12-18,41.99,41.99,41.11,41.69,497495
2023-12-19,41.33,41.84,41.11,41.33,288690
2023-12-20,41.4,41.69,41.03,41.33,408673
2023-12-21,41.11,41.55,40.74,41.47,533985
2023-12-22,41.62,41.62,40.96,40.96,383418
2023-12-25,40.96,41.47,40.89,41.18,480478
2023-12-26,41.33,41.4,40.96,40.96,623147
2023-12-27,41.03,41.47,41.03,41.4,527778
2023-12-28,41.62,41.69,41.33,41.4,346945
2023-12-29,41.84,42.21,41.4,41.69,712798
2024-01-02,42.21,42.8,41.91,42.21,779590
2024-01-03,42.21,42.43,41.91,42.28,376152
2024-01-04,42.5,43.16,42.21,42.36,899128
2024-01-05,42.36,42.43,42.06,42.14,555100
2024-01-08,42.14,42.43,41.69,41.69,920506
2024-01-09,41.4,41.62,41.11,41.18,1088205
2024-01-10,41.33,41.4,40.81,40.96,684484
2024-01-11,40.96,41.18,40.81,40.96,430404
2024-01-12,40.89,40.96,40.37,40.45,792673
2024-01-15,40.45,40.96,40.45,40.52,193593
2024-01-16,40.59,41.03,40.3,40.81,311396
2024-01-17,40.81,41.4,40.59,41.18,350082
2024-01-18,41.25,41.33,40.81,40.89,296824
2024-01-19,40.89,41.4,40.74,41.11,288408
2024-01-22,41.47,41.47,41.03,41.18,218338
2024-01-23,41.18,42.14,41.11,41.77,495237
2024-01-24,41.77,41.84,41.33,41.69,232377
2024-01-25,41.47,41.69,40.96,41.33,357292
2024-01-26,41.18,41.47,41.11,41.25,415943
2024-01-29,41.25,41.69,41.18,41.47,338629
2024-01-30,41.33,41.55,41.11,41.4,710711
2024-01-31,41.62,41.69,40.89,41.11,592351
2024-02-01,41.11,41.4,40.59,40.67,886542
2024-02-02,40.59,41.18,40.37,40.37,725061
2024-02-05,40.59,41.25,40.52,40.74,594933
2024-02-06,40.74,41.55,40.74,41.25,610931
2024-02-07,41.47,41.62,41.33,41.47,323806
2024-02-15,41.55,43.31,41.55,42.8,1291392
2024-02-16,42.8,43.9,42.8,43.09,891768
2024-02-19,43.31,43.53,42.87,43.46,1088195
2024-02-20,43.53,43.53,42.94,43.16,626086
