Date,Open,High,Low,Close,Volume
2023-12-05,56.16,56.16,54.88,54.88,402334
2023-12-06,54.88,55.99,54.88,55.91,288994
2023-12-07,56.51,56.51,55.73,56.25,627406
2023-12-08,56.59,56.59,55.82,56.25,556866
2023-12-11,56.33,56.68,55.82,56.16,384307
2023-12-12,56.16,56.51,55.65,55.73,361335
2023-12-13,55.91,56.42,54.88,54.88,747146
2023-12-14,55.22,55.65,54.02,54.02,427966
2023-12-15,54.11,54.53,53.85,53.85,845260
2023-12-18,53.93,53.93,52.56,52.73,592149
2023-12-19,53.08,53.59,52.73,53.33,528498
2023-12-20,53.33,53.76,53.08,53.16,565769
2023-12-21,52.73,53.33,52.73,53.16,445382
2023-12-22,53.16,53.25,52.73,52.73,640727
2023-12-25,52.65,54.11,52.65,53.16,547509
2023-12-26,53.42,54.02,53.42,53.76,358033
2023-12-27,53.93,54.28,53.25,53.25,647201
2023-12-28,53.68,54.11,53.33,53.33,868844
2023-12-29,54.02,54.45,53.76,54.02,1569131
2024-01-02,54.79,55.13,54.28,54.45,771225
2024-01-03,54.62,54.62,54.19,54.45,558138
2024-01-04,54.62,54.97,54.62,54.8,774491
2024-01-05,54.8,54.8,54.1,54.36,709246
2024-01-08,54.36,54.71,54.36,54.54,655600
2024-01-09,54.45,54.71,54.01,54.1,559039
2024-01-10,54.1,54.1,53.22,53.39,822458
2024-01-11,53.39,54.27,53.39,53.92,489824
2024-01-12,53.92,53.92,53.13,53.66,498278
2024-01-15,53.57,54.01,53.04,53.04,443433
2024-01-16,53.13,53.22,52.78,53.04,266902
2024-01-17,53.04,53.22,52.87,53.04,470452
2024-01-18,53.31,53.31,53.04,53.13,446740
2024-01-19,54.27,54.27,53.39,53.92,715634
2024-01-22,54.1,54.1,53.39,53.48,360503
2024-01-23,53.48,53.57,52.95,52.95,346852
2024-01-24,52.95,53.13,52.78,52.95,472781
2024-01-25,52.95,53.04,51.64,51.64,1395775
2024-01-26,51.81,51.9,49.97,50.32,2068422
2024-01-29,50.32,51.81,50.32,50.85,702548
