Date,Open,High,Low,Close,Volume
2023-12-06,13.48,13.83,13.41,13.75,29391050
2023-12-07,13.75,13.79,12.95,13.29,73901842
2023-12-08,13.33,13.41,12.95,13.1,23887806
2023-12-11,12.95,13.18,12.65,13.03,41146251
2023-12-12,13.1,13.22,12.99,13.03,12591758
2023-12-13,13.18,13.22,12.65,12.65,28229674
2023-12-14,12.84,12.87,12.49,12.53,24080111
2023-12-15,12.49,12.87,12.42,12.57,24040417
2023-12-18,12.65,12.68,12.46,12.49,12673206
2023-12-19,12.49,12.8,12.46,12.8,16403000
2023-12-20,12.87,13.07,12.72,12.91,17485550
2023-12-21,12.72,12.87,12.72,12.84,10024125
2023-12-22,12.87,13.07,12.68,12.72,19624313
2023-12-25,12.76,13.03,12.65,12.87,19448495
2023-12-26,12.99,13.1,12.91,13.03,15366048
2023-12-27,13.1,13.29,13.03,13.03,19919955
2023-12-28,12.99,13.18,12.95,13.03,17097182
2023-12-29,13.1,13.14,12.99,13.03,13099145
2024-01-02,13.18,13.22,12.3,12.49,51750576
2024-01-03,12.46,12.68,12.46,12.68,13675809
2024-01-04,12.72,13.14,12.72,12.76,31659189
2024-01-05,12.87,12.87,12.65,12.76,12796484
2024-01-08,12.87,13.07,12.76,12.87,20213131
2024-01-09,12.99,13.18,12.87,12.91,25705983
2024-01-10,12.91,12.95,12.65,12.72,18716164
2024-01-11,12.87,13.18,12.8,13.1,42524459
2024-01-12,12.99,13.22,12.84,12.91,36638892
2024-01-15,13.03,13.1,12.72,12.72,21284629
2024-01-16,12.68,12.99,12.65,12.99,17249272
2024-01-17,13.07,13.67,12.99,13.29,52836086
2024-01-18,13.33,13.48,13.22,13.29,19274028
2024-01-19,13.56,13.64,13.18,13.22,26835493
2024-01-22,13.33,13.41,12.99,13.22,23013519
2024-01-23,13.26,13.33,13.18,13.22,16663747
2024-01-24,13.22,13.48,13.22,13.26,24401060
2024-01-25,13.37,13.37,13.22,13.22,9970417
2024-01-26,13.22,13.33,13.18,13.22,13986586
2024-01-29,13.26,13.37,13.14,13.14,14753642
2024-01-30,13.14,13.26,13.03,13.26,14189067
2024-01-31,13.29,13.64,13.26,13.29,37304438
2024-02-01,13.33,13.37,13.22,13.26,12075260
2024-02-02,13.37,13.71,13.29,13.48,39028355
2024-02-05,13.52,13.64,13.45,13.56,15560891
2024-02-06,13.64,13.94,13.6,13.71,25534514
2024-02-07,13.79,13.9,13.6,13.79,16142433
2024-02-15,13.87,13.9,13.56,13.6,24616350
2024-02-16,13.6,13.83,13.56,13.67,21896804
2024-02-19,13.67,13.71,13.33,13.64,27342174
2024-02-20,13.71,14.25,13.71,13.94,49431837
2024-02-21,13.98,14.09,13.83,13.98,24694970
2024-02-22,13.94,14.02,13.75,13.75,15184124
2024-02-23,13.87,13.87,13.29,13.33,37260198
2024-02-26,13.29,13.83,13.18,13.67,24951633
2024-02-27,13.79,14.06,13.64,13.79,22085902
2024-02-28,13.87,14.06,13.71,13.83,28146337
2024-02-29,13.94,14.32,13.83,13.94,36502953
2024-03-01,13.98,14.44,13.98,14.4,38401521
2024-03-04,14.7,14.74,14.32,14.4,25311130
2024-03-05,14.44,14.59,14.17,14.55,29874125
2024-03-06,14.59,14.7,14.13,14.25,28521200
2024-03-07,14.25,15.24,14.21,15.08,63138648
2024-03-08,15.2,15.35,14.78,14.82,38539230
2024-03-11,14.82,14.97,14.32,14.78,34047201
2024-03-12,14.59,14.67,14.25,14.32,34320379
2024-03-13,14.36,15.31,14.36,15.31,37296099
2024-03-14,15.35,16.34,15.24,15.85,46846498
2024-03-15,15.85,16.15,15.43,15.85,25401381
2024-03-18,16.0,16.15,14.74,15.05,62737344
2024-03-19,15.2,15.2,14.7,14.7,23916971
2024-03-20,14.78,15.24,14.63,15.24,28830583
2024-03-21,15.66,15.69,15.2,15.35,32814400
2024-03-22,15.54,15.77,15.16,15.35,39375453
2024-03-25,15.77,15.77,15.24,15.39,40046640
2024-03-26,15.39,15.96,15.08,15.96,35867644
2024-03-27,16.26,16.26,15.77,16.0,26469831
2024-03-28,16.19,16.19,15.81,16.0,29134782
2024-03-29,16.0,16.0,15.62,15.66,29223933
2024-04-01,15.58,15.85,15.31,15.66,31825507
2024-04-02,15.62,15.96,15.35,15.96,25872297
2024-04-03,16.0,16.3,15.62,15.62,42450856
2024-04-04,15.66,15.69,15.24,15.31,30671326
2024-04-05,15.08,15.12,14.7,14.7,51531113
2024-04-08,14.82,14.82,14.44,14.44,33951206
2024-04-09,14.55,14.97,14.44,14.97,27611953
2024-04-10,14.97,14.97,14.63,14.63,17473552
2024-04-11,14.44,14.74,14.4,14.59,26488990
2024-04-12,14.78,15.01,14.63,14.86,22803414
2024-04-15,14.82,15.05,13.83,13.83,43881940
2024-04-16,13.79,13.87,12.91,13.6,62517746
2024-04-17,13.71,13.75,12.95,12.95,32314273
2024-04-19,12.65,13.1,12.19,12.42,47427441
2024-04-22,12.84,13.26,12.68,13.07,27935772
2024-04-23,13.07,13.1,12.53,12.61,20906648
2024-04-24,12.87,13.26,12.76,13.14,26371195
2024-04-25,13.07,13.1,12.87,13.03,15166220
